Model;Modelpris;Motor;Pris;Beskrivelse;Felg;Pris;Beskrivelse;Setetrekk;Pris;Beskrivelse;Spoiler;Pris;Beskrivelse;Dekk;Pris;Beskrivelse;Batteri;Pris;Beskrivelse;Tank;Pris;Beskrivelse;Girboks;Pris;Beskrivelse;Tilpasning;Pris;Tilpasning;Pris;Tilpasning;Pris;Tilpasning;Pris;Totalpris
Elektrisk;1200000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Høy;1000.0;Denne spoileren gir ekstra fart ettersom den er meget høy;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;GPS-system;2000.0;;;;;;;1230823.0
Elektrisk;1200000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Høy;1000.0;Denne spoileren gir ekstra fart ettersom den er meget høy;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;GPS-system;2000.0;;;Hengerfeste;1000.0;;;1231823.0
Elektrisk;1200000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Høy;1000.0;Denne spoileren gir ekstra fart ettersom den er meget høy;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;GPS-system;2000.0;Soltak;5000.0;Hengerfeste;1000.0;;;1236823.0
Elektrisk;1200000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Høy;1000.0;Denne spoileren gir ekstra fart ettersom den er meget høy;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;GPS-system;2000.0;Soltak;5000.0;Hengerfeste;1000.0;Autopilot;50000.0;1286823.0
Elektrisk;1200000.0;V8;1230.0;Denne V8 motoren er lett å vedlikeholde og lager lite lyd;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;;;Soltak;5000.0;;;;;1222253.0
Elektrisk;1200000.0;V8;1230.0;Denne V8 motoren er lett å vedlikeholde og lager lite lyd;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;Li-ion;10000.0;Li-ion batteri er miljøvennlige og har lang rekkevidde;;;;;;;;;Soltak;5000.0;Hengerfeste;1000.0;Autopilot;50000.0;1273253.0
Diesel;400000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Vinter;1000.0;Disse vinterdekkene er gode på alle typer snø og is;;;;100-liter;10000.0;Denne tanken er stor og har god kondens;Automat;5000.0;Automat girboks er dyrere enn manuell, men er mer komportabelt;;;Soltak;5000.0;;;;;437823.0
Diesel;400000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Vinter;1000.0;Disse vinterdekkene er gode på alle typer snø og is;;;;100-liter;10000.0;Denne tanken er stor og har god kondens;Automat;5000.0;Automat girboks er dyrere enn manuell, men er mer komportabelt;;;Soltak;5000.0;Hengerfeste;1000.0;;;438823.0
Diesel;400000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Vinter;1000.0;Disse vinterdekkene er gode på alle typer snø og is;;;;100-liter;10000.0;Denne tanken er stor og har god kondens;Automat;5000.0;Automat girboks er dyrere enn manuell, men er mer komportabelt;GPS-system;2000.0;Soltak;5000.0;Hengerfeste;1000.0;;;440823.0
Diesel;400000.0;V12;12300.0;Denne V12 motoren er slitesterk og har en veldig høy ytelse;Feit;3900.0;Disse felgene er laget av aluminium som gir en fin glans i solen;Mykt;123.0;Dette setetrekket er veldig komfortabelt under lange kjøreturer;Lav;500.0;Denne spoileren gir mindre fart men god luftmotstand;Sommer;1500.0;Disse sommerdekkene er veldig slitesterke;;;;100-liter;10000.0;Denne tanken er stor og har god kondens;Automat;5000.0;Automat girboks er dyrere enn manuell, men er mer komportabelt;;;;;Hengerfeste;1000.0;;;434323.0
